"ISO3","YEAR","GDLCODE","geo_area","fies","population","stunting","u5pop"
"AUS",2030,"AUSr107","Urban",26998,237347,0,13143
"AUS",2030,"AUSr102","Rural",45506,422842,0,23416
"AUS",2030,"AUSr102","Urban",790458,7344990,0,406741
"AUS",2030,"AUSr101","Rural",78869,733954,0,40644
"AUS",2030,"AUSr101","Urban",911308,8480574,0,469626
"AUS",2030,"AUSr104","Rural",15759,143236,0,7932
"AUS",2030,"AUSr104","Urban",200425,1821694,0,100879
"AUS",2030,"AUSr103","Rural",67152,622675,0,34482
"AUS",2030,"AUSr103","Urban",564463,5234050,0,289845
"AUT",2020,"AUTr109","Rural",2594,63398,0,2858
"AUT",2020,"AUTr109","Urban",13578,331905,0,14963
"AUT",2020,"AUTr108","Rural",17240,417181,0,18807
"AUT",2020,"AUTr108","Urban",14115,341551,0,15397
"AUT",2020,"AUTr105","Rural",23210,552961,0,24928
"AUT",2020,"AUTr105","Urban",29207,695817,0,31368
"AUT",2020,"AUTr104","Rural",13054,315247,0,14212
"AUT",2020,"AUTr104","Urban",10285,248376,0,11197
"AUT",2020,"AUTr107","Rural",7371,181025,0,8161
"AUT",2020,"AUTr107","Urban",15291,375552,0,16930
"AUT",2020,"AUTr106","Rural",12412,298582,0,13460
"AUT",2020,"AUTr106","Urban",49281,1185452,0,53441
"AUT",2020,"AUTr101","Rural",6497,145185,0,6545
"AUT",2020,"AUTr101","Urban",6686,149409,0,6735
"AUT",2020,"AUTr103","Rural",0,0,0,0
"AUT",2020,"AUTr103","Urban",95715,1919085,0,86514
"AUT",2020,"AUTr102","Rural",23357,549521,0,24773
"AUT",2020,"AUTr102","Urban",48293,1136210,0,51221
"AUT",2025,"AUTr109","Rural",2575,62821,0,2746
"AUT",2025,"AUTr109","Urban",13949,340306,0,14873
"AUT",2025,"AUTr108","Rural",17690,411192,0,17971
"AUT",2025,"AUTr108","Urban",15599,362570,0,15846
"AUT",2025,"AUTr105","Rural",22314,516721,0,22583
"AUT",2025,"AUTr105","Urban",31661,733168,0,32043
"AUT",2025,"AUTr104","Rural",13157,302829,0,13235
"AUT",2025,"AUTr104","Urban",11066,254688,0,11131
"AUT",2025,"AUTr107","Rural",7374,176725,0,7724
"AUT",2025,"AUTr107","Urban",16105,385948,0,16868
