"ISO3","YEAR","u5_frac"
"KAZ",2025,0.0722830982125227
"KAZ",2030,0.0657572727978494
"KEN",2010,0.164499674447621
"KEN",2015,0.151555214030472
"KEN",2020,0.139766874400005
"KEN",2025,0.129556075789123
"KEN",2030,0.121632132614898
"KGZ",2010,0.111564702113129
"KGZ",2015,0.105560464776411
"KGZ",2020,0.0954864274496021
"KGZ",2025,0.0847587287623802
"KGZ",2030,0.0776218774978228
"KHM",2010,0.105507362824334
"KHM",2015,0.103556880155585
"KHM",2020,0.0985211156058778
"KHM",2025,0.0902323295597562
"KHM",2030,0.0820255650401693
"KOR",2010,0.0492246487912633
"KOR",2015,0.0432637991504883
"KOR",2020,0.0414761352408831
"KOR",2025,0.0408839864391692
"KOR",2030,0.0399660057312679
"KWT",2010,0.102828483022817
"KWT",2015,0.0768078367366587
"KWT",2020,0.0692341899329126
"KWT",2025,0.0628563046965375
"KWT",2030,0.0603607100868318
"LAO",2010,0.110122991942775
"LAO",2015,0.105461484996257
"LAO",2020,0.101585199561291
"LAO",2025,0.0949344182931103
"LAO",2030,0.0873430143107293
"LBN",2010,0.0760914533717382
"LBN",2015,0.0706057665717901
"LBN",2020,0.0680612694132067
"LBN",2025,0.0650728292558157
"LBN",2030,0.0604372326793085
"LBR",2010,0.170425690552267
"LBR",2015,0.153464923803904
"LBR",2020,0.143433614230338
"LBR",2025,0.130000600346248
"LBR",2030,0.117217351274221
"LBY",2010,0.112592822911697
"LBY",2015,0.10323107950822
"LBY",2020,0.0897686443269669
"LBY",2025,0.0767001984703035
"LBY",2030,0.0698357878966284
"LCA",2010,0.0867347231546994
"LCA",2015,0.0799430581168258
"LCA",2020,0.0736968747764082
"LCA",2025,0.0671443389524074
"LCA",2030,0.0616514910112865
"LKA",2010,0.090733635063058
"LKA",2015,0.080836683626783
"LKA",2020,0.0727098610439057
"LKA",2025,0.0668955440588805
"LKA",2030,0.0638008205504596
"LSO",2010,0.126332027016688
"LSO",2015,0.119525204521879
"LSO",2020,0.113948303620853
"LSO",2025,0.108443707607157
"LSO",2030,0.101017822738624
"LTU",2010,0.0499989318846279
"LTU",2015,0.0559347754057455
"LTU",2020,0.0552061434843299
"LTU",2025,0.052476972445722
"LTU",2030,0.0475296724270851
"LUX",2010,0.0567210827513361
"LUX",2015,0.0545627835088344
"LUX",2020,0.0535210830468016
"LUX",2025,0.0519067189343525
"LUX",2030,0.0508780149742964
"LVA",2010,0.0511864692770175
"LVA",2015,0.0430320386963819
"LVA",2020,0.0431211816263834
"LVA",2025,0.0423451992081121
"LVA",2030,0.0401294084861257
"MAC",2010,0.044079344291243
"MAC",2015,0.0460748531868417
"MAC",2020,0.0438985070678954
"MAC",2025,0.0393431181503026
"MAC",2030,0.0358796724602948
"MAR",2010,0.0945787309806528
"MAR",2015,0.0890398309879213
